,count,mean,median,std,min,q25,q50,q75,max
close_price,1905.0,1900.7765527559054,133.83,3254.774586177842,10.675,89.63,133.83,2746.0,11285.1
total_volume,1905.0,484937.4341207349,101252.0,828579.7456892107,112.0,15824.0,101252.0,552701.0,5874791.0
num_trades,1905.0,21066.762204724408,14150.0,22601.904950151253,35.0,3102.0,14150.0,32599.0,148639.0
mean_open_pos,1905.0,2264333.722670646,936259.8814818893,4108174.3406396466,51793.93602225313,133587.30634278004,936259.8814818893,1489334.5484964957,16271703.83006235
daily_return,1898.0,-0.010968654962626008,-0.009826751475583428,1.415363362766289,-7.029947308744089,-0.7137204822270787,-0.009826751475583428,0.608468748992691,11.160839160839163
abs_return,1898.0,0.9683093077413554,0.6516461215041958,1.0321127079204722,0.0,0.2795939816807841,0.6516461215041958,1.3172437394564724,11.160839160839163
relative_range,1905.0,1.8497084600739757,1.541614685439316,1.255063347245129,0.0,1.0410027618440612,1.541614685439316,2.3049291558571166,12.21700879765395
volume_per_trade,1905.0,14.487116251869761,8.382625501759255,15.988975767517053,1.3777372262773722,5.022202486678508,8.382625501759255,15.29471597479527,97.32653160139589
buy_share,1905.0,0.4918935833746982,0.4942312356615332,0.06592391925713986,0.07412790697674419,0.4602071928487284,0.4942312356615332,0.525011614492799,1.0
direction_imbalance,1905.0,0.046302684802980026,0.032690545440057395,0.04760931627558274,4.582378671114107e-05,0.014013140799584267,0.032690545440057395,0.062145424952976314,0.5
