symbol,num_days,num_deals,avg_volume,avg_trades,volatility,mean_rel_range
CRH5,55,9543826,5325569.8,173524.1090909091,1.4974986842309421,2.1070568498489
CRM5,117,13413615,3241884.7863247865,114646.28205128205,1.2614490658488218,1.8177865388363963
CNYRUBF,255,10576632,2146997.839215686,41476.98823529412,1.0562772522384876,1.4646044559230678
CRU5,182,10127946,2033992.142857143,55648.054945054944,1.06501473614596,1.4612057667418443
CRZ5,245,11781414,1943364.9714285715,48087.40408163265,1.0001292333054457,1.4581018292114607
IMOEXF,285,13806019,731038.2210526316,48442.17192982456,1.5179709344938626,2.0079195744347165
SiH5,55,10087951,725349.0545454546,183417.29090909092,1.4226553378027222,1.954473420530163
NGH5,60,5195713,667984.7166666667,86595.21666666666,3.6510473650307316,4.688377588802479
NRZ5,101,1114203,640132.0495049505,11031.712871287129,2.758509632518919,3.3647259781592966
NGJ5,82,4894716,470139.7073170732,59691.65853658537,3.4116458246199346,4.729980254122718
NRX5,69,602030,442917.3043478261,8725.072463768116,2.088350901300682,3.2449139007338967
SiM5,117,11983866,423909.73504273506,102426.20512820513,1.2165789281181412,1.8376165492924632
NGX5,82,3759948,404535.5731707317,45853.0243902439,1.885207183773488,2.760833275661777
GLDRUBF,285,7377102,397766.9052631579,25884.56842105263,1.232083064739263,1.6626444294395486
NGZ5,114,5202088,380721.05263157893,45632.350877192985,2.484155995812407,3.0397361764586877
CRH6,252,3008673,369714.11904761905,11939.17857142857,0.9939173577689354,1.4355783097183796
NGK5,102,4148975,325663.1960784314,40676.22549019608,3.263454547015455,4.427018096674576
NGV5,149,4256759,297618.58389261743,28568.85234899329,2.6360086206201037,3.038304624395887
NGU5,141,4252465,292444.02127659577,30159.326241134753,2.5509090842266025,3.3394544016727625
NGN5,130,4563028,286452.4846153846,35100.21538461538,3.08623270461266,3.7327155354569124
SiZ5,247,13264137,272410.27125506074,53700.95951417004,0.9385204796495179,1.4038545969321572
GZH5,55,2673515,263510.87272727274,48609.36363636364,2.8399960604817096,3.8492476449817454
SiU5,182,9216030,259897.92307692306,50637.52747252747,1.0105375498452074,1.4602100146817094
NGQ5,136,4162415,254094.8088235294,30605.992647058825,2.773409532002142,3.6492535148474055
NRV5,153,568678,249920.73856209152,3716.849673202614,2.039258432474834,3.7230915766883106
SVH5,56,1368949,246486.3392857143,24445.51785714286,1.3518832194832453,2.08968786173195
NGM5,122,3737755,240874.00819672132,30637.33606557377,3.0566262073533426,4.0609544864262945
MMH5,55,3175626,236205.18181818182,57738.65454545455,1.7509239503428813,2.346070758680697
NRH5,60,442454,235174.46666666667,7374.233333333334,3.49725121551519,5.594105349583176
NRJ5,82,471179,229213.93902439025,5746.085365853659,3.387454810293157,5.397572953316361
GKH5,55,510646,220177.34545454546,9284.472727272727,2.411678957676847,3.7627774551541515
SRH5,55,2853875,210604.03636363638,51888.63636363636,1.6013060417858487,2.2086195036391376
NRK5,102,473982,208683.5,4646.882352941177,3.159279438535138,4.781719034437997
SSH5,55,492389,199870.2,8952.527272727273,3.4853019615761878,5.137821995600732
NRQ5,132,419342,192232.8106060606,3176.8333333333335,3.6198712249597853,3.8035673265130137
SVZ5,273,5117435,190483.90476190476,18745.18315018315,1.6452367280983813,1.959300338590412
MXH5,55,4373951,183478.58181818182,79526.38181818182,1.750534114167635,2.317400609549891
NRN5,129,495021,178686.3023255814,3837.3720930232557,3.4585979804631317,4.550089712565601
NRF6,100,368623,171413.02,3686.23,2.4398819963441585,3.3226306691806986
GZM5,117,3707223,168917.4700854701,31685.666666666668,2.7292282411716218,3.7714920331053627
NRU5,143,399898,161341.38461538462,2796.4895104895104,3.0661278685182776,4.040947759118913
MMM5,117,4872273,157848.7435897436,41643.35897435898,1.758751025220984,2.412705742922884
USDRUBF,255,5633621,152733.42352941175,22092.631372549018,0.9911600452210887,1.4066344622154943
NRM5,122,418450,149143.23770491802,3429.9180327868853,2.953302406686212,4.859415153615565
GDH5,56,2132993,147624.0892857143,38089.16071428572,0.7696139280590287,1.0430653383093678
NAH5,56,756496,145296.10714285713,13508.857142857143,1.1768272848419432,1.7959481604475978
IBZ5,120,726713,135860.28333333333,6055.941666666667,2.196720191292475,2.913278982992986
NAM5,118,1300616,134830.37288135593,11022.169491525423,1.5184659265773,2.0967601605568467
VBH5,55,1095653,134004.65454545454,19920.963636363635,3.0769281025205286,3.7778487595170223
SVM5,118,1699274,133637.0,14400.627118644068,1.709745020390693,2.0851023460296325
RIH5,55,3749235,131950.14545454545,68167.90909090909,2.666322126391201,3.3175290353366806
BRN5,119,2415694,122448.3025210084,20299.949579831933,2.0882403459705,2.2888858713895632
BRH5,42,1008587,120760.71428571429,24013.97619047619,1.2687424355576165,1.7635114973779895
GKM5,117,827662,115825.67521367522,7074.034188034188,2.423062869419059,3.5990981522603276
GDM5,118,4487127,110371.24576271187,38026.5,1.214372910851136,1.2937346044056122
GKU5,145,567882,109114.46896551724,3916.4275862068966,2.191448682145536,2.9453461877293416
IBU5,87,443719,107965.29885057472,5100.218390804598,1.7626189538839105,2.164725136413285
BRK5,85,1564176,105964.07058823529,18402.070588235296,1.7842518626129946,2.207938474599813
EDH5,55,703135,105238.54545454546,12784.272727272728,0.561578831678512,0.7213035734514388
CCZ5,140,1321020,100990.34285714285,9435.857142857143,2.1767688896554325,3.1630336874689804
VBU5,147,1566740,99828.67346938775,10658.095238095239,2.1340299119635633,2.9721462363613855
MXM5,117,5685118,99772.1282051282,48590.75213675214,1.774267571963898,2.411867687972714
MMU5,192,4334023,94586.47395833333,22573.036458333332,1.5245163848076564,1.9308036053166093
ETZ5,120,407854,94268.43333333333,3398.7833333333333,3.519290543008823,4.702061429228241
GKZ5,166,569270,88804.64457831325,3429.3373493975905,2.0438341656097916,2.7144421312013476
SRM5,117,3275139,87776.17948717948,27992.641025641027,1.5541002754432531,2.317962946900422
VBZ5,166,1359639,86239.35542168675,8190.596385542169,1.5963498830625393,2.3762178603219533
GLM5,117,1088776,86170.07692307692,9305.777777777777,1.3596154884366511,1.8819047875848427
MMZ5,272,5955425,85189.02205882352,21894.944852941175,1.4744866816089048,1.8911120585082335
SVU5,193,1779425,83933.18134715025,9219.81865284974,1.448411938780188,1.842596167812675
GZU5,192,2529686,79627.4375,13175.447916666666,2.3428260591470016,3.101430695400561
EuH5,55,1360846,79256.21818181819,24742.654545454545,1.4582483260443548,2.10154652772743
BRJ5,63,960725,79007.38095238095,15249.603174603175,1.1836141683233419,1.7211557714549333
GDZ5,274,6098201,77841.56204379562,22256.20802919708,1.0093851985073796,1.1717210056026797
SZH5,55,213395,76250.47272727273,3879.909090909091,4.680276408488258,5.661719993715607
KCX5,136,521242,75805.2794117647,3832.6617647058824,1.9728857896118324,3.119816468415288
SSU5,141,380843,75102.2695035461,2701.0141843971633,3.2092541003510116,4.37191697726758
SiH6,253,3842391,71833.55731225296,15187.316205533596,0.8994461982930478,1.3167838289754341
BRM5,105,1278033,71007.42857142857,12171.742857142857,1.7326971364636603,2.2155327914013982
MVZ5,78,82437,71003.83333333333,1056.8846153846155,2.4612130679045197,4.2649833624248386
NGF6,112,1422120,70867.51785714286,12697.5,2.2836020645173325,2.902244005882
YDH5,55,348250,67140.43636363637,6331.818181818182,1.9734731463517061,2.8822612817962048
VBM5,117,1250667,65095.4358974359,10689.461538461539,2.946066478036791,3.5228747968128316
ETU5,44,101632,64762.5,2309.818181818182,3.769172004006912,4.055566506999479
SSM5,117,424058,64229.846153846156,3624.4273504273506,3.5074793647503872,5.089068398900829
BRQ5,140,1820514,63968.95,13003.671428571428,1.8863074277005947,2.138244198010366
MXZ5,251,7099955,63851.410358565736,28286.673306772907,1.5525134953440993,1.7280269085588729
SVH6,236,2128415,63103.266949152545,9018.707627118643,1.8897785861929546,1.977586078624729
GLU5,192,963896,62196.755208333336,5020.291666666667,1.2210841211707342,1.7333309420480285
EDM5,117,1003879,60651.52136752137,8580.162393162393,0.6095838756115123,0.7834700504874679
GZZ5,273,2635422,60619.58241758242,9653.560439560439,2.069284718721918,2.7076570360365606
RIM5,117,4151902,60552.31623931624,35486.34188034188,2.5445973166866858,3.1782207440987027
SRZ5,164,2736611,60495.80487804878,16686.65243902439,1.1608545813222915,1.6093835390157274
SRU5,148,2583057,60236.89189189189,17453.087837837837,1.4284821084138697,1.9517337660422558
UCH5,55,494502,60205.74545454545,8990.945454545454,0.3029491820361378,0.5261593386662475
GLH5,55,418218,58859.854545454546,7603.963636363636,1.3603488402663169,1.907121227549938
GDU5,193,3501909,57417.18134715026,18144.60621761658,1.0258482602635253,1.1057655631382115
MXU5,190,4761192,56395.731578947365,25058.905263157896,1.5182474012241591,1.9850533658026208
GLZ5,271,1148058,56201.10332103321,4236.376383763838,1.2105888341161883,1.6890145289444325
SFH5,56,696264,54878.107142857145,12433.285714285714,0.8142234229841923,1.2951603156231266
TBM5,117,567169,54445.068376068375,4847.598290598291,2.3664996077892204,3.5504705678222828
SFM5,118,1341339,53363.19491525424,11367.27966101695,1.2162003098342693,1.6651975362361722
PSH5,55,202318,52391.89090909091,3678.509090909091,2.5431227809568804,4.019145256525032
VKH5,55,272159,52328.01818181818,4948.345454545454,3.0324978813141366,4.297514562192327
MNH5,55,405414,49625.98181818182,7371.163636363636,1.9656241097124354,3.2385487794753756
EuM5,117,1762596,46804.230769230766,15064.923076923076,1.273294029359903,1.967212304527529
RBZ5,161,607969,44921.25465838509,3776.204968944099,0.468315157448051,0.6848315300961944
SSZ5,164,273470,44707.64634146341,1667.5,2.440963300498981,3.257943055477273
EDU5,173,880948,43237.68208092485,5092.184971098266,0.5505471784680488,0.6783817705235804
EuU5,178,1658370,42179.691011235955,9316.685393258427,1.117937165159075,1.3834740671819648
WUZ5,162,272203,41846.46913580247,1680.2654320987654,2.561064961195783,3.6282377341725556
TNH5,55,144709,41367.854545454546,2631.072727272727,2.1882527681114388,3.365947917011987
CCU5,142,888125,41156.43661971831,6254.401408450704,2.277751291017203,3.5346476679769467
BRU5,170,1367880,40822.14705882353,8046.35294117647,1.6722410940910142,2.0644338665154747
CCH5,52,524367,40601.730769230766,10083.98076923077,3.152219041202288,5.212051020638008
NAU5,193,703820,39641.81865284974,3646.7357512953367,1.2241165080842187,1.6594066596176686
NAZ5,274,1131828,38101.3503649635,4130.759124087591,1.1621082727134093,1.570548241494528
PIH5,55,353764,37968.836363636365,6432.072727272727,3.6858725258013467,5.45792799305224
YDM5,117,495811,37838.08547008547,4237.7008547008545,2.0391200209182325,3.093105192315477
RBH5,42,127549,36674.95238095238,3036.8809523809523,0.9527071908656862,1.094992692242641
BRX5,218,1692763,36635.61467889908,7764.967889908256,1.6228182491907777,1.6787680438600592
BRV5,195,1319434,35653.00512820513,6766.328205128205,1.6635493810817021,1.9520106660774548
UCM5,116,765886,34469.1724137931,6602.4655172413795,0.35936807926443237,0.5177390717872192
RMH5,55,532652,34188.454545454544,9684.581818181818,2.6740524095814013,3.3969301935718734
CCN5,137,790990,33672.50364963504,5773.649635036496,2.7322178227949245,4.513896327923966
RUH5,55,113730,33623.90909090909,2067.818181818182,3.336865824232968,4.642388490479573
RBU5,143,369516,33047.03496503497,2584.027972027972,0.6838051054647466,0.8625347639930099
CCH6,99,398306,30838.141414141413,4023.2929292929293,2.0678267842033273,3.1052623234812935
GAZPF,285,1209539,30507.277192982456,4243.99649122807,2.205140231570631,2.9732435079370747
UCU5,139,553423,29579.007194244605,3981.460431654676,0.47699978197054216,0.5757460807799634
RBM5,105,263932,29421.095238095237,2513.638095238095,0.7972111478866607,1.0490901693387924
VBH6,93,310657,28340.462365591397,3340.3978494623657,1.35223411059805,1.910984298427809
EuZ5,222,1551056,27200.626126126128,6986.738738738739,1.1888881335651094,1.403951282681083
GKH6,103,129484,27090.747572815533,1257.126213592233,2.14656165627916,2.283088645303634
SEU5,141,332075,27008.390070921985,2355.1418439716313,4.991318479636875,6.158413776075249
YDZ5,163,413227,26870.730061349692,2535.134969325153,1.6610099788948394,2.2123892579408393
BRZ5,248,1437570,26552.75806451613,5796.653225806452,1.4910632846303284,1.737166325198246
WUH5,55,164325,26432.4,2987.7272727272725,2.8369317760648394,4.813381892716865
YDU5,142,376315,26331.37323943662,2650.105633802817,1.6882258729056687,2.446549004865237
SEM5,108,262557,25878.296296296296,2431.0833333333335,8.563693402820679,8.91693753168512
TBZ5,167,272956,25408.047904191615,1634.4670658682635,1.510253462144753,2.4343174692418663
MNM5,117,415836,24841.581196581195,3554.153846153846,1.9814555674983403,3.0589888503838867
RIU5,190,2430839,24271.705263157895,12793.88947368421,2.1009397991389616,2.383055754162017
CCK5,93,544075,23554.247311827956,5850.268817204301,3.0603691947981253,4.783238170607283
EDZ5,185,735727,23537.313513513513,3976.9027027027028,0.46814551777188557,0.5574496575002919
RIZ5,262,3399735,23048.87786259542,12976.087786259543,1.9274555961343844,2.157936518377849
SEZ5,157,273178,22699.292993630574,1739.9872611464968,7.633438592262283,5.090184460835293
PTZ5,206,1669712,22552.626213592233,8105.398058252427,1.94431317584521,2.398167534325973
ASZ5,163,76529,22358.552147239265,469.50306748466255,1.9702375526428448,2.7173367811925897
BRF6,257,978077,22236.31906614786,3805.7470817120625,1.5745917690413935,1.6677171040958725
BBH5,56,82905,22178.964285714286,1480.4464285714287,3.261098495945252,4.3721232682704265
PIM5,117,370440,21963.965811965812,3166.153846153846,3.7589211620424243,5.13467591050608
IBH6,102,222522,21728.87254901961,2181.5882352941176,2.0728993943587626,2.9601425932752883
TNM5,117,227133,21340.735042735043,1941.3076923076924,1.8302294438940354,2.938060782167149
VKM5,117,270983,21325.102564102563,2316.094017094017,2.9372220159641924,4.102377773938583
TBU5,192,296578,20433.395833333332,1544.6770833333333,1.8632484797103905,2.4437781142127655
AFH5,55,200467,20426.636363636364,3644.8545454545456,2.3519854498478283,3.8809396780257903
